id,section,subsection,item,sourcing,status,source_name,source_url,license,attribution,target_stub
A0139,8) Marketing/Store/Community Asset Inventory,general,animated GIF snippets,UNCLASSIFIED,pending,,,,,preproduction/assets/8-marketing-store-community-asset-inventory/general/animated-gif-snippets.asset-request.json
A0140,8) Marketing/Store/Community Asset Inventory,general,trailer B-roll capture scenes,UNCLASSIFIED,pending,,,,,preproduction/assets/8-marketing-store-community-asset-inventory/general/trailer-b-roll-capture-scenes.asset-request.json
A0141,8) Marketing/Store/Community Asset Inventory,general,logo lockups,UNCLASSIFIED,pending,,,,,preproduction/assets/8-marketing-store-community-asset-inventory/general/logo-lockups.asset-request.json
A0142,8) Marketing/Store/Community Asset Inventory,general,press kit page templates,UNCLASSIFIED,pending,,,,,preproduction/assets/8-marketing-store-community-asset-inventory/general/press-kit-page-templates.asset-request.json
A0143,10) Predicted Missing Items Teams Forget (Include Early),general,placeholder fail-state art/UX assets,UNCLASSIFIED,pending,,,,,preproduction/assets/10-predicted-missing-items-teams-forget-include-early/general/placeholder-fail-state-art-ux-assets.asset-request.json
A0144,10) Predicted Missing Items Teams Forget (Include Early),general,loading transition sprites,UNCLASSIFIED,pending,,,,,preproduction/assets/10-predicted-missing-items-teams-forget-include-early/general/loading-transition-sprites.asset-request.json
A0145,10) Predicted Missing Items Teams Forget (Include Early),general,debug visualization icons,UNCLASSIFIED,pending,,,,,preproduction/assets/10-predicted-missing-items-teams-forget-include-early/general/debug-visualization-icons.asset-request.json
A0146,10) Predicted Missing Items Teams Forget (Include Early),general,QA map markers and test room tiles,UNCLASSIFIED,pending,,,,,preproduction/assets/10-predicted-missing-items-teams-forget-include-early/general/qa-map-markers-and-test-room-tiles.asset-request.json
A0147,10) Predicted Missing Items Teams Forget (Include Early),general,controller rumble tuning tables,UNCLASSIFIED,pending,,,,,preproduction/assets/10-predicted-missing-items-teams-forget-include-early/general/controller-rumble-tuning-tables.asset-request.json
A0148,10) Predicted Missing Items Teams Forget (Include Early),general,fallback fonts for unsupported glyphs,UNCLASSIFIED,pending,,,,,preproduction/assets/10-predicted-missing-items-teams-forget-include-early/general/fallback-fonts-for-unsupported-glyphs.asset-request.json
A0149,10) Predicted Missing Items Teams Forget (Include Early),general,legal attribution scene or credits block,UNCLASSIFIED,pending,,,,,preproduction/assets/10-predicted-missing-items-teams-forget-include-early/general/legal-attribution-scene-or-credits-block.asset-request.json
A0150,10) Predicted Missing Items Teams Forget (Include Early),general,end-card assets for each ending branch,UNCLASSIFIED,pending,,,,,preproduction/assets/10-predicted-missing-items-teams-forget-include-early/general/end-card-assets-for-each-ending-branch.asset-request.json
A0151,10) Predicted Missing Items Teams Forget (Include Early),general,save slot thumbnails and corruption recovery UI,UNCLASSIFIED,pending,,,,,preproduction/assets/10-predicted-missing-items-teams-forget-include-early/general/save-slot-thumbnails-and-corruption-recovery-ui.asset-request.json
A0152,10) Predicted Missing Items Teams Forget (Include Early),general,platform-specific safe-area UI variants,UNCLASSIFIED,pending,,,,,preproduction/assets/10-predicted-missing-items-teams-forget-include-early/general/platform-specific-safe-area-ui-variants.asset-request.json
